longitude,latitude,h_over_geoid,gravity_anomaly,gnss_site,gnss_latitude_deg,gnss_longitude_deg,gnss_height_m,gnss_east_m,gnss_north_m,gnss_up_m,gnss_sig_e_m,gnss_sig_n_m,gnss_sig_u_m,gnss_corr_en,gnss_corr_eu,gnss_corr_nu,gnss_ant_m,gnss_n_dias,gnss_fecha_ini,gnss_fecha_fin,dist_gnss_km
-74.51000000,5.92000000,161.80000000,74.86483748,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,64.62610000
-74.46000000,5.92000000,177.04000000,74.09563901,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,63.91610000
-74.41000000,5.92000000,191.92000000,73.28120723,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,63.67960000
-74.36000000,5.92000000,214.40000000,72.41955494,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,63.92200000
-74.31000000,5.92000000,581.60000000,71.38881193,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,64.63780000
-74.26000000,5.92000000,909.84000000,70.33496615,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,65.81160000
-74.21000000,5.92000000,657.56000000,69.44784761,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,67.41950000
-74.16000000,5.92000000,606.44000000,68.44818577,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,69.43140000
-74.11000000,5.92000000,749.40000000,67.34402881,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,71.81320000
-74.06000000,5.92000000,965.12000000,66.18109765,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,74.52950000
