lon,lat,gravity_anomaly_base_mgal,aire_libre_mgal,bouguer_mgal,altura_m,gradiente_mgal_km
-76.36,4.62,69.98232723,399.59181523,280.005601715974,1068.08,22.7774992273174
-76.36,4.67,70.16158117,377.63827717,266.082101886468,996.36,19.240379854219
-76.36,4.72,70.31831745,369.93188545,261.228545834524,970.88,17.5296174196234
-76.36,4.77,70.36977314,457.56402114,317.085376870116,1254.68,10.9507555000198
-76.36,4.82,70.5913621200003,365.538898120044,258.528449999883,955.760000000143,17.6147243242082
-76.36,4.87,70.7834114399998,292.284147439998,211.921065450048,717.759999999995,7.42271206546869
-76.36,4.92,70.90415888,277.18474288,202.343711720054,668.44,3.67084916920081
-76.36,4.97,71.03811598,236.12677198,176.23065859761,534.96,6.60513633598173
-76.36,5.02,71.08077572,269.63401572,197.596556189886,643.4,2.83903896435007
-76.36,5.07,71.13432961,277.217409610011,202.448035232932,667.800000000036,14.2525529152247
-76.36,5.12,71.0693665000001,382.829430499996,269.719198737948,1010.23999999999,19.0553040622483
-76.36,5.17,71.16658268,314.92355068,226.48564497026,789.88,10.8286055617412
-76.36,5.22,71.11789214,369.27486814,261.099997298199,966.16,14.0392042637655
-76.36,5.27,71.31960626,165.31916626,131.215016162281,304.6,12.2212791104709
-76.36,5.32,71.28179179,170.626303789989,134.582942005824,321.919999999964,4.1591055280743
-76.36,5.37,71.18769938,208.712203379982,158.816689757048,445.639999999943,2.14879300257936
-76.36,5.42,71.16538674,156.96853074,125.838137131432,278.04,3.17426597356586
-76.36,5.47,71.03394879,186.42566079,144.560185397553,373.92,6.38332791353305
-76.36,5.52,70.91953894,176.39901894,138.129818337897,341.8,9.0207265528006
-76.36,5.57,70.7918145800001,154.854454580003,124.355536370485,272.40000000001,4.2781456579617
-76.36,5.62,70.6381283899999,132.975328390001,110.358656296306,202.000000000004,2.16468604579167
-76.36,5.67,70.39781223,167.84134823,132.487682980966,315.76,3.75341531625132
-76.36,5.72,70.1408989,192.1736829,147.898748183512,395.44,5.90368934442014
-76.36,5.77,69.84248449,229.17883649,171.369726908731,516.32,6.24399182740828
-76.36,5.82,69.5006101700001,280.348474170006,203.850379906163,683.240000000019,7.54930518803607
-76.36,5.87,69.1771682200001,285.160136220009,206.798965601517,699.88000000003,10.5768640080081
-76.36,5.92,68.9133632,202.0434032,153.742252995942,431.4,13.4336066844745
-76.36,5.97,68.49410515,240.42133715,178.044107660698,557.12,7.21449216094612
-76.36,6.02,68.08896804,234.22686404,173.950073998607,538.36,9.20775639308745
-76.36,6.07,67.6522033600002,227.729195360015,169.651372842974,518.720000000047,0.729410770004287
-76.36,6.12,67.1755045900001,228.906592590009,170.228644516425,524.080000000029,9.47843301260541
-76.36,6.17,66.5719762,326.3884882,232.123990333053,841.92,7.92756678879177
-76.36,6.22,66.10107832,255.22350232,186.607654171982,612.84,11.840477049537
-76.36,6.27,65.40296204,385.56929004,269.409166456999,1037.48,14.627879167309
-76.36,6.32,64.79286763,390.93369163001,272.605950365155,1056.84000000003,7.63867493240033
-76.36,6.37,64.1843206700001,359.107168670007,252.105677647717,955.680000000021,7.31219492040989
-76.36,6.42,63.53703111,332.42638311,234.870151779912,871.32,5.66859628479771
-76.36,6.47,62.88308981,275.43442581,198.318291793896,688.76,7.19556347914478
-76.36,6.52,62.15378558,264.23740958,190.919085056065,654.84,8.96219576599433
-76.31,2.72,64.6162168800002,999.760624880044,660.479193632105,3030.28000000014,16.3591677514199
-76.31,2.77,64.7970809100002,932.000112910036,617.368614969762,2810.12000000012,13.6823860925634
-76.31,2.82,65.0274142600003,809.358270260192,539.306248363551,2411.96000000062,16.2497312757399
-76.31,2.87,65.1896695700004,764.909309570122,511.042763504519,2267.40000000039,16.4162884852966
