lon,lat,estacion_gnss_retenida,tipo_relacion_gravedad_gnss,dist_gnss_km,clase_distancia,gravity_anomaly_base_mgal,aire_libre_mgal,bouguer_mgal,gradiente_mgal_km,usar_grilla_regional,usar_resumen_contextual_100km,usar_contexto_regional_150km
-75.66,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,26.1148,local_0_50km,69.03505305,807.99626905,539.892415937737,26.6694827904214,1,1,1
-75.61,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,24.7684,local_0_50km,69.20638391,850.70502391,567.168091186872,4.97052763725235,1,1,1
-75.56,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,24.618,local_0_50km,69.36848726,871.86427126,580.709326807887,6.14303135865392,1,1,1
-75.51,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,25.6844,local_0_50km,69.552302,843.05203,562.417196983152,14.3059605526823,1,1,1
-75.46,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,27.8282,local_0_50km,69.78474713,740.15035513,496.93379841866,22.425587731397,1,1,1
-75.41,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,30.8253,local_0_50km,70.07766955,553.28354955,377.970751706897,13.6362820341663,1,1,1
-75.36,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,34.4539,local_0_50km,70.16340484,522.08958884,358.125433984109,5.17304592950795,1,1,1
-75.31,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,38.5358,local_0_50km,70.04784549,639.01983749,432.590081685117,18.8535091667565,1,1,1
-75.26,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,42.9421,local_0_50km,69.91884998,735.72952198,494.165549823625,11.1977569995222,1,1,1
-75.21,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,47.5828,local_0_50km,69.87701359,722.01053359,485.40879364745,7.70059152070687,1,1,1
-75.16,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,52.3955,contextual_50_100km,69.91683511,602.72090711,409.413299668389,7.50683770361192,1,1,1
-75.11,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,57.337,contextual_50_100km,69.77749412,610.32125412,414.205596499628,3.2435253147593,1,1,1
-75.06,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,62.3766,contextual_50_100km,69.67422432,552.38634432,377.252688434075,9.28543099623937,1,1,1
-75.01,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,66.7507,contextual_50_100km,69.55193214,477.71863614,329.63093723899,7.73467239192647,1,1,1
-74.96,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,61.2705,contextual_50_100km,69.36143705,430.00374105,299.158455527351,5.39702778308758,1,1,1
-74.91,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,55.7991,contextual_50_100km,69.12983151,384.86466351,270.31233899267,4.43679031582684,1,1,1
-74.86,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,50.3392,contextual_50_100km,68.83976536,357.84983736,252.993571274917,3.95692503659045,1,1,1
-74.81,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,44.8952,local_0_50km,68.49519094,345.56861494,245.04310566969,2.92972382841203,1,1,1
-74.76,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,39.4735,local_0_50km,68.140811,307.416907,220.604714551649,4.45125927015727,1,1,1
-74.71,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,34.0848,local_0_50km,67.72977576,286.07044776,206.853874295987,3.10101583871902,1,1,1
-74.66,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,28.7477,local_0_50km,67.28672408,259.12482808,189.523699167504,4.1113925696391,1,1,1
-74.61,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,23.4975,local_0_50km,66.82348431,215.49462031,161.554977003771,6.51488766156794,1,1,1
-74.56,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,18.4084,local_0_50km,66.3393112,155.5864312,123.206522440117,6.38289286212167,1,1,1
-74.51,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,13.6619,local_0_50km,65.80104606,110.80727006,94.4784806632455,3.89230342668951,1,1,1
-74.46,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,9.7706,local_0_50km,65.18829745,101.67716145,88.4385708145622,0.599155369346881,1,1,1
-74.41,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,8.0822,local_0_50km,64.53016603,101.38935003,88.0164029266789,0.707254879318697,1,1,1
-74.36,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,9.8092,local_0_50km,63.84006873,97.42809273,85.2419610929817,0.242736000777533,1,1,1
-74.31,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,13.717,local_0_50km,63.10665924,101.66931524,87.6783283844156,0.273884223491384,1,1,1
-74.26,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,18.4698,local_0_50km,62.34305495,101.60931895,87.3630548054372,0.764741447455754,1,1,1
-74.21,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,23.5617,local_0_50km,61.54707049,99.98628649,86.04008512371,0.904940199512014,1,1,1
-74.16,6.42,BER1,contextual_por_proximidad_no_asociacion_directa,28.8133,local_0_50km,60.70223567,115.10224367,95.3652785379383,0.553716666791035,1,1,1
